CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\public\sw.js | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\app\(auth)\layout.tsx | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\app\(auth)\login\page.tsx | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\app\(auth)\preinscription\page.tsx | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\app\(dashboard)\caisse\page.tsx | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\app\(dashboard)\encheres\page.tsx | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\app\(dashboard)\imputations\page.tsx | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\app\(dashboard)\layout.tsx | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\app\(dashboard)\membres\page.tsx | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\app\api\auth\context\route.ts | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\app\api\auth\preinscription\finaliser\route.ts | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\app\api\contributions\create\route.ts | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\app\api\contributions\form-data\route.ts | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\app\api\imputations\form-data\route.ts | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\app\api\imputations\route.ts | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\app\api\membres\route.ts | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\app\api\push\send\route.ts | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\app\api\push\subscribe\route.ts | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\app\api\tontine\cycle-parametres\route.ts | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\app\api\tontine\sessions-planifiees\route.ts | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\app\layout.tsx | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\app\manifest.ts | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\app\page.tsx | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\components\app\AppNotificationsCenter.tsx | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\components\app\AppPwaRegister.tsx | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\components\app\InstallAppButton.tsx | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\components\auth\AuthContextGate.tsx | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\components\auth\RoleGuard.tsx | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\components\dashboard\member-card.tsx | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\components\dashboard\module-card.tsx | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\components\dashboard\notifications-card.tsx | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\components\dashboard\stat-card.tsx | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\components\home\HomeLogoutButton.tsx | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\components\mobile\index.ts | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\components\mobile\MobileBankBottomNav.tsx | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\components\mobile\MobileBottomNav.tsx | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\components\mobile\MobileCaisseBanking.tsx | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\components\mobile\MobileCaisseBankingConnected.tsx | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\components\mobile\MobileHomeProHeader.tsx | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\components\mobile\MobileLogoutButton.tsx | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\components\mobile\MobilePageShell.tsx | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\components\mobile\MobileStatusBadge.tsx | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\components\mobile\MobileTopBar.tsx | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\components\push\EnablePushButton.tsx | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\components\push\PushNotificationPanel.tsx | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\components\push\PushNotificationTestCard.tsx | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\components\ui\AppSidebar.tsx | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\components\ui\AppTopBar.tsx | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\components\ui\LogoutButton.tsx | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\components\ui\MobileBottomNav.tsx | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\hooks\useAuth.ts | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\hooks\useNotifications.ts | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\hooks\usePushCurrentMembreId.ts | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\lib\auth\debugPendingRecognition.ts | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\lib\auth\pendingRecognition.ts | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\lib\getCurrentMembreId.ts | No improvement
CHECKED | C:\Users\ntolv\OneDrive\Documents\ASF-NTOL\asf-ntol-app\src\lib\push\registerPush.ts | No improvement
